date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2025-08-08,49,92,8,59,99,53,7,59,7,40,4,37,7,88,36,54,0,26,39,82,7,8,13,44,16,94,99
2025-08-09,92,0,91,55,68,39,42,72,42,68,73,22,18,53,49,24,21,11,65,91,49,89,75,35,28,81,82
2025-08-10,35,99,83,5,57,78,51,26,51,44,17,38,22,72,89,30,61,86,45,15,1,47,15,46,30,2,84
2025-08-11,71,56,25,38,38,88,69,51,69,80,59,25,67,56,56,31,34,62,31,83,53,16,62,13,61,35,12
2025-08-12,75,81,79,83,52,7,4,95,4,18,95,98,1,48,78,28,91,73,18,73,75,87,84,80,54,7,62
2025-08-13,21,54,95,17,34,89,59,19,59,74,74,19,35,41,74,40,75,27,44,82,76,42,41,35,90,96,6
2025-08-14,16,50,62,95,12,70,87,99,87,83,20,26,72,75,52,68,20,15,14,75,19,82,57,60,17,27,98
2025-08-15,77,92,21,60,85,78,64,74,64,84,80,30,85,31,81,2,39,64,56,80,1,15,16,84,74,31,3
2025-08-16,94,77,51,58,37,86,90,32,90,96,53,27,19,39,49,97,85,63,19,88,67,78,73,48,83,80,93
2025-08-17,91,23,37,47,5,59,71,5,71,10,46,80,57,13,84,67,41,49,77,91,78,92,76,51,44,34,80
2025-08-18,45,25,29,37,43,95,54,83,54,31,32,27,62,85,77,19,63,62,82,21,12,33,1,14,31,61,9
2025-08-19,50,16,54,59,48,50,93,31,93,89,41,63,91,61,26,33,2,73,59,85,31,33,13,33,44,51,56
2025-08-20,34,64,82,17,35,81,10,10,10,96,78,35,9,8,0,64,30,32,71,50,97,92,21,53,66,10,19
2025-08-21,27,50,4,83,58,32,36,1,36,73,91,32,57,17,3,23,65,96,94,10,83,19,96,83,85,9,38
2025-08-22,34,81,35,87,51,2,96,91,96,82,9,24,10,3,84,64,89,67,82,43,64,97,75,67,13,62,78
2025-08-23,22,41,92,12,86,68,48,77,48,2,43,0,87,73,20,11,32,65,73,47,14,95,96,48,88,9,51
2025-08-24,57,63,12,93,58,44,44,4,44,20,96,51,88,62,23,71,54,37,3,67,49,3,28,44,36,25,8
2025-08-25,93,42,21,57,5,46,89,8,89,64,16,49,67,43,93,78,7,51,72,82,91,37,43,66,96,81,56
2025-08-26,44,58,66,86,27,94,62,81,62,0,96,9,74,49,5,61,76,59,76,9,28,98,60,42,95,60,26
2025-08-27,52,25,47,22,62,89,24,53,24,29,43,27,89,72,12,85,94,20,87,6,22,63,28,50,21,60,96
2025-08-28,92,34,96,3,76,2,45,61,45,58,9,42,10,56,5,98,61,2,89,84,30,6,45,97,3,17,19
2025-08-29,12,62,27,77,40,82,51,63,51,36,44,22,22,61,7,20,95,93,48,95,57,88,3,8,74,27,22
2025-08-30,30,49,86,73,69,75,62,69,62,42,60,10,36,18,87,20,10,2,46,57,34,3,32,27,39,4,31
2025-08-31,39,83,37,87,61,55,92,9,92,51,67,34,16,17,28,28,8,23,51,26,43,45,42,66,54,81,95
2025-09-01,35,45,78,45,19,79,25,70,25,28,36,33,1,51,2,94,32,7,96,24,46,67,26,29,5,99,2
2025-09-02,79,68,62,26,96,25,91,25,91,29,71,59,2,80,63,44,14,63,15,5,23,82,86,8,57,69,30
2025-09-03,33,21,14,81,94,99,84,51,84,8,50,80,55,54,51,88,79,49,61,81,72,45,63,14,90,49,84
2025-09-04,43,92,54,69,40,88,19,30,19,83,33,52,68,0,51,3,80,45,16,68,13,68,70,37,45,1,40
2025-09-05,78,58,45,11,75,94,38,27,38,45,97,45,47,91,12,65,95,6,98,98,70,37,17,25,18,66,6
2025-09-06,93,80,23,62,15,84,8,3,8,11,13,5,35,96,69,67,5,80,23,55,73,53,53,9,64,31,67
2025-09-07,37,53,54,97,56,1,48,97,48,77,0,98,83,46,9,58,62,19,69,88,55,57,32,36,68,57,40
2025-09-08,93,13,84,87,17,42,68,20,68,65,26,39,83,11,63,69,68,32,37,71,14,34,74,32,24,12,52
2025-09-09,60,69,43,25,59,90,81,49,81,84,98,53,83,30,63,23,82,1,68,10,88,87,85,82,62,54,51
2025-09-10,31,48,33,17,54,24,40,16,40,2,18,95,17,39,34,81,82,78,62,25,62,5,25,23,47,31,62
2025-09-11,17,2,58,9,29,96,92,32,92,68,12,2,73,26,60,86,36,53,1,89,50,43,96,83,19,56,43
2025-09-12,86,26,20,74,38,38,65,28,65,3,46,21,50,14,43,18,22,31,84,1,26,48,49,83,5,23,1
2025-09-13,1,89,65,76,92,74,97,75,97,65,14,85,70,2,82,50,38,4,11,29,57,34,53,28,93,80,24
2025-09-14,7,14,92,0,27,68,53,28,53,9,88,79,9,69,74,20,74,23,33,82,25,66,49,60,4,12,89
2025-09-15,46,84,44,91,70,7,86,19,86,32,60,88,37,95,27,1,44,58,99,0,24,16,65,82,33,22,26
2025-09-16,5,36,0,68,96,27,21,71,21,20,91,87,52,45,70,26,72,22,92,25,79,89,51,12,29,11,33
2025-09-17,5,56,34,78,42,34,89,63,89,18,44,22,67,67,80,0,51,80,8,13,34,23,18,41,1,64,30
2025-09-18,50,69,55,11,82,88,74,70,74,2,9,18,46,13,71,65,76,23,73,30,75,89,82,69,93,5,59
2025-09-19,46,43,95,23,53,77,24,99,24,83,47,78,79,38,42,66,64,19,83,57,28,53,62,13,56,22,45
2025-09-20,90,23,62,69,28,83,73,34,73,45,14,68,67,42,60,66,74,39,92,92,55,91,86,76,41,37,40
2025-09-21,71,13,24,88,43,39,15,44,15,96,82,16,75,94,25,74,61,28,3,30,97,83,94,93,74,87,88
2025-09-22,61,20,99,65,30,50,9,58,9,10,53,4,70,1,65,34,89,94,43,14,4,1,95,86,69,16,38
2025-09-23,88,43,39,82,37,49,14,58,14,35,3,73,65,68,95,16,57,31,11,75,9,75,40,12,77,99,75
2025-09-24,59,20,57,32,75,88,34,16,34,66,18,48,6,57,9,92,34,44,71,33,84,31,8,65,82,57,17
2025-09-25,63,75,34,43,89,31,79,80,79,85,2,94,57,75,20,49,23,9,20,63,24,75,42,58,68,97,7
2025-09-26,23,70,55,98,62,31,91,96,91,67,77,38,64,71,87,34,36,35,26,21,87,86,49,62,87,95,18
2025-09-27,19,36,92,79,36,31,68,92,68,71,20,12,23,59,4,84,3,91,15,69,82,87,31,68,93,30,56
2025-09-28,6,31,19,74,50,69,16,82,16,94,91,39,51,90,34,89,29,27,3,2,27,88,25,90,56,33,18
2025-09-29,50,8,58,54,48,75,69,77,69,52,25,90,44,86,67,99,92,31,4,63,75,77,60,18,39,85,5
2025-09-30,36,26,69,2,74,63,52,0,52,38,4,48,40,38,87,34,7,26,28,62,35,12,87,72,70,60,23
2025-10-01,83,47,77,37,99,53,39,43,39,44,1,69,95,11,56,22,62,6,74,85,80,7,16,8,56,80,54
2025-10-02,47,3,44,81,11,16,17,34,17,23,87,59,76,27,90,50,9,89,78,94,67,79,96,72,26,44,42
2025-10-03,9,45,94,33,67,60,81,99,81,45,39,69,81,88,13,45,55,76,6,4,4,57,65,68,48,77,56
2025-10-04,5,72,24,70,23,75,58,10,58,4,32,14,42,66,12,39,87,17,77,45,17,65,54,5,4,68,63
2025-10-05,45,55,80,91,86,46,48,52,48,99,86,61,87,17,65,24,68,29,69,80,93,71,6,69,25,16,14
2025-10-06,21,31,44,3,4,22,48,92,48,61,8,27,57,33,1,91,33,9,92,48,26,40,85,10,46,91,25
2025-10-07,25,79,63,2,53,15,84,5,84,68,12,18,61,34,89,34,28,40,45,37,38,98,95,62,41,65,7
2025-10-08,33,2,3,28,77,32,27,17,27,24,52,47,59,65,7,61,19,63,27,52,6,20,79,14,64,62,83
2025-10-09,65,29,22,54,93,80,44,20,44,28,31,36,74,22,50,57,40,60,39,64,92,8,49,76,24,77,1
2025-10-10,40,78,80,21,49,70,18,58,18,88,99,0,68,21,25,49,1,58,46,90,34,5,95,41,71,90,42
2025-10-11,43,13,46,1,6,55,93,38,93,73,64,3,67,5,22,81,13,72,1,93,3,1,25,84,9,69,79
2025-10-12,52,20,46,57,2,36,7,12,7,46,81,44,32,54,5,2,73,46,62,2,93,45,66,2,90,42,28
2025-10-13,8,9,66,88,34,22,29,62,29,39,13,65,75,81,77,8,0,19,60,3,39,67,47,25,42,72,87
2025-10-14,24,82,15,45,63,39,90,97,90,82,93,5,75,91,21,35,62,28,47,38,76,89,4,11,33,29,40
2025-10-15,28,36,75,37,60,85,19,77,19,68,60,7,61,13,45,87,23,93,8,73,55,70,25,73,13,42,70
2025-10-16,62,46,56,28,12,2,15,56,15,28,83,58,2,52,6,99,66,46,62,18,91,31,69,10,83,34,27
2025-10-17,79,94,2,47,50,5,49,87,49,2,28,4,59,73,0,66,34,30,95,81,23,95,35,44,83,48,63
2025-10-18,79,90,56,62,45,66,25,72,25,58,2,51,76,68,27,6,6,41,91,35,68,50,89,23,68,7,67
2025-10-19,66,47,49,2,77,76,38,7,38,28,53,18,70,12,50,11,41,64,26,78,80,66,69,22,60,48,55
